Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E8H9-2,8046,441,415,380,394,13.22185015,715.498491,117.56315,0.2609,0.2815
E8H9-3,8059,403,440,379,395,13.36230987,715.994727,117.46067,0.2722,0.3036
E8H9-4,8051,435,416,388,386,13.46409069,716.055457,119.82496,0.2823,0.2894
E8H10-1,7963,437,502,403,371,12.39052769,691.627085,120.83918,0.294,0.3007
E8H10-2,7959,453,490,397,377,12.73070845,711.719631,114.48774,0.2485,0.255
E8H10-3,7965,484,453,398,376,13.06460162,695.379309,117.23323,0.3053,0.3072
E8H10-4,7963,472,467,389,385,13.45159761,708.26317,118.0622,0.285,0.2963
E9H1-1,8711,39,56,427,443,15.9820878,781.949295,124.73508,0.2458,0.2538
E9H1-2,8710,40,56,423,447,14.88026266,785.578749,125.90182,0.2489,0.2598
E9H1-3,8712,42,52,449,421,15.54830962,780.917119,125.58265,0.2525,0.2568
E9H1-4,8710,42,54,444,426,15.55408746,790.3017,124.9259,0.2422,0.267
E9H2-1,8613,99,94,420,450,15.12103812,779.549903,123.91772,0.2456,0.2593
E9H2-2,8613,95,98,431,439,15.4120948,774.435864,123.30498,0.2429,0.2598
E9H2-3,8614,90,102,455,415,15.14783323,778.997542,124.31537,0.2442,0.26
E9H2-4,8614,86,106,429,441,14.98377694,768.626999,124.84562,0.2485,0.2623
E9H3-1,8520,156,130,436,434,15.02922186,759.558051,121.16252,0.2419,0.2636
E9H3-2,8518,122,166,458,412,14.62970767,763.471287,121.35515,0.2456,0.2766
E9H3-3,8520,127,159,441,429,14.59798152,767.67765,120.7701,0.2436,0.259
E9H3-4,8520,141,145,441,429,14.32898197,764.036283,121.67698,0.2778,0.2862
E9H4-1,8422,180,204,421,449,14.13122731,740.741868,123.41599,0.2787,0.2812
E9H4-2,8423,188,195,431,439,14.38198003,755.106216,120.57547,0.2498,0.2659
E9H4-3,8424,192,190,433,437,13.92183655,744.115809,120.84383,0.2562,0.2658
E9H4-4,8425,196,185,430,440,13.99783124,755.819925,120.77353,0.2453,0.2725
E9H5-1,8327,245,234,431,439,13.70595422,739.021225,119.85041,0.2504,0.2571
E9H5-2,8327,248,231,446,424,13.36382213,732.40159,121.18702,0.2719,0.2745
E9H5-3,8331,233,242,453,417,13.96704627,738.202117,119.50323,0.2523,0.2637
E9H5-4,8331,245,230,423,447,13.83132674,748.899177,119.54851,0.2663,0.2757
E9H6-1,8236,275,295,451,419,14.11064725,730.176435,119.20593,0.2526,0.2646
E9H6-2,8238,268,300,438,432,13.33648187,730.335123,121.43811,0.3033,0.3048
E9H6-3,8237,297,272,428,442,13.38388454,736.513499,117.94377,0.2457,0.2526
E9H6-4,8236,271,299,455,415,13.14435028,728.659768,118.90724,0.2567,0.2747
E9H7-1,8151,323,332,449,421,13.15501078,726.493601,119.14376,0.2794,0.2839
E9H7-2,8144,333,329,452,418,13.26529765,720.457874,119.19298,0.2742,0.2764
E9H7-3,8142,331,333,460,410,12.5609046,711.482245,119.22102,0.2765,0.2774
E9H7-4,8134,343,329,415,455,13.27458647,715.174907,119.63758,0.2713,0.2982
E9H8-1,8052,384,370,445,425,12.52193221,699.017447,117.00372,0.2641,0.2682
E9H8-2,8049,353,404,406,464,12.36202272,703.394105,119.45812,0.2861,0.2871
E9H8-3,8053,383,370,436,434,12.63203873,715.302108,118.5814,0.2697,0.2791
E9H8-4,8044,359,403,453,417,12.3654115,719.506341,116.28228,0.2484,0.2906
E9H9-1,7963,454,389,434,436,13.16406384,680.550854,119.49456,0.2999,0.3031
E9H9-2,7962,420,424,454,416,12.09622444,695.020044,117.8666,0.2792,0.3015
E9H9-3,7951,441,414,432,438,12.23773177,708.103833,120.33501,0.2978,0.3004
E9H9-4,7949,431,426,423,447,12.41361995,702.903833,119.19012,0.2999,0.3015
E9H10-1,7862,478,466,430,440,12.3057587,689.3921,117.37892,0.2988,0.303
E9H10-2,7862,466,478,435,435,12.36716508,681.000105,117.47358,0.2926,0.2967
E9H10-3,7863,486,457,444,426,12.02536903,686.292566,115.9413,0.259,0.2837
E9H10-4,7863,459,484,464,406,12.18083224,692.215971,116.6596,0.2646,0.2811
E10H1-1,8614,55,40,482,485,14.61638243,774.390787,123.19336,0.2514,0.256
E10H1-2,8613,44,52,488,479,14.30117915,767.259638,123.31231,0.2432,0.288
E10H1-3,8613,54,42,498,469,15.02011803,775.563518,124.50348,0.2452,0.2731
E10H1-4,8613,44,52,492,475,14.49276376,774.144559,124.47664,0.2458,0.2668
E10H2-1,8516,103,90,487,480,14.47547384,766.942853,122.55042,0.249,0.2839
E10H2-2,8517,100,92,476,491,14.58135586,768.339764,122.45348,0.2474,0.2926
E10H2-3,8516,103,90,472,495,13.58121657,767.683192,122.70603,0.246,0.2717
E10H2-4,8516,87,106,498,469,13.99111089,767.707535,122.6271,0.2615,0.2696
E10H3-1,8422,148,139,486,481,12.91624095,751.290489,121.25645,0.2677,0.283
E10H3-2,8421,153,135,492,475,14.10964438,752.920202,121.20575,0.2574,0.2992
E10H3-3,8421,141,147,457,510,13.50691377,757.08317,120.34918,0.2419,0.257
E10H3-4,8421,154,134,488,479,13.5206383,760.142158,122.40832,0.2561,0.2701
E10H4-1,8324,187,198,485,482,12.76332461,737.419866,119.46141,0.2468,0.2665
E10H4-2,8324,196,189,482,485,13.18598728,741.070992,120.48363,0.2666,0.2853
E10H4-3,8325,201,183,479,488,12.90020887,745.805534,120.36502,0.246,0.2653
E10H4-4,8328,205,176,487,480,13.36415178,746.805499,120.07974,0.2515,0.2676
E10H5-1,8230,231,248,472,495,12.72354122,738.293245,118.89099,0.2471,0.276
E10H5-2,8231,236,242,472,495,12.9363039,728.287621,120.31584,0.2604,0.2779
E10H5-3,8232,222,255,481,486,12.91574949,735.069366,118.05795,0.2473,0.2658
E10H5-4,8231,247,231,495,472,12.49822634,735.628859,118.67506,0.2506,0.2791
E10H6-1,8137,302,270,480,487,12.58955583,718.66662,119.3563,0.2757,0.3095
E10H6-2,8139,276,294,495,472,12.84830143,721.39802,119.12256,0.27,0.2742
E10H6-3,8135,290,284,487,480,12.26961501,714.001296,118.7803,0.2659,0.2733
E10H6-4,8143,280,286,502,465,12.61956207,726.989128,119.09381,0.2761,0.2801
E10H7-1,8048,337,324,496,471,11.86043616,696.565488,118.91637,0.2797,0.2843
E10H7-2,8047,346,316,478,489,12.63798777,712.364529,116.81704,0.2794,0.2843
E10H7-3,8040,331,338,479,488,12.65026116,715.676004,118.81691,0.297,0.3302
E10H7-4,8045,335,329,475,492,11.87651742,704.92566,118.53083,0.2765,0.2825
E10H8-1,7953,370,386,502,465,11.847325,701.417498,117.05481,0.2664,0.3112
E10H8-2,7957,369,383,477,490,12.19199718,703.467832,117.80011,0.2852,0.2951
E10H8-3,7956,366,387,460,507,12.29292415,695.335794,118.5399,0.3035,0.3069
E10H8-4,7953,381,375,489,478,12.10762868,708.532552,117.74661,0.281,0.2882
E10H9-1,7859,414,436,479,488,11.63363162,681.076161,119.14741,0.2947,0.2991
E10H9-2,7854,433,422,477,490,11.65010675,680.721965,116.00238,0.281,0.2967
E10H9-3,7867,425,417,488,479,12.15522232,692.136264,120.42876,0.3072,0.3111
E10H9-4,7861,428,420,485,482,12.02469422,677.581612,116.90248,0.2946,0.2981
E10H10-1,7769,461,479,452,515,12.28160602,675.31173,118.67886,0.3113,0.3292
E10H10-2,7769,488,452,470,497,11.54078376,684.465946,119.95869,0.3437,0.3489
E10H10-3,7769,464,476,482,485,11.81528667,686.048381,118.07129,0.2978,0.3065
E10H10-4,7768,474,467,511,456,11.55979727,684.102651,118.18937,0.296,0.3
