Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E2H8-3,8727,362,394,86,107,23.32365826,797.546723,124.74246,0.2525,0.2619
E2H8-4,8720,414,349,102,91,23.08357313,784.686152,124.78068,0.2495,0.2823
E2H9-1,8628,425,430,96,97,22.33817578,780.094871,123.47431,0.2521,0.2541
E2H9-2,8632,405,446,94,99,21.94763065,783.054735,123.43739,0.249,0.2615
E2H9-3,8629,413,441,101,92,20.98106071,776.547293,121.81422,0.2516,0.2563
E2H9-4,8634,407,442,95,98,21.67979992,783.454356,122.32071,0.246,0.2526
E2H10-1,8540,465,478,88,105,20.87232233,767.250862,120.98592,0.2453,0.2542
E2H10-2,8542,457,484,93,100,21.652335,769.56628,120.82619,0.2518,0.2699
E2H10-3,8541,479,463,99,94,21.1916224,774.762072,121.28191,0.2486,0.2756
E2H10-4,8539,480,464,90,103,20.33334066,770.263411,122.46437,0.2874,0.2924
E3H1-1,9290,41,55,143,147,29.86251827,858.505127,134.39474,0.2413,0.2636
E3H1-2,9290,46,50,135,155,29.71851611,857.034135,133.43327,0.2401,0.2482
E3H1-3,9291,39,56,135,155,28.80807877,858.258258,134.51819,0.2444,0.2538
E3H1-4,9290,44,52,140,150,29.69315797,860.881603,133.93375,0.2422,0.2443
E3H2-1,9193,84,109,144,146,28.11593466,847.550306,131.59327,0.2432,0.2532
E3H2-2,9194,93,99,142,148,28.98942224,848.117531,130.4719,0.2392,0.2509
E3H2-3,9193,99,94,133,157,27.52585134,847.396364,130.59134,0.2409,0.2495
E3H2-4,9194,101,91,142,148,27.98658532,845.642616,132.10142,0.2532,0.2539
E3H3-1,9098,140,148,148,142,25.66913266,834.997888,130.70825,0.243,0.2511
E3H3-2,9099,159,128,130,160,25.16431933,836.881803,127.99844,0.2395,0.2455
E3H3-3,9097,138,151,137,153,25.80686014,839.644545,129.06949,0.2402,0.2451
E3H3-4,9099,144,143,143,147,25.62426532,836.733195,128.91017,0.2409,0.254
E3H4-1,9002,188,196,148,142,24.00969435,825.656938,126.92016,0.2399,0.2519
E3H4-2,9005,190,191,143,147,24.88155417,822.295165,127.81165,0.2419,0.2529
E3H4-3,9008,191,187,145,145,25.0955399,824.845985,129.64424,0.2468,0.254
E3H4-4,9003,178,205,141,149,24.78245308,821.907078,128.88155,0.2461,0.2528
E3H5-1,8910,240,236,146,144,23.66545697,816.925916,125.82871,0.243,0.2485
E3H5-2,8907,252,227,153,137,23.29028281,814.517508,125.02833,0.2426,0.253
E3H5-3,8907,244,235,146,144,23.39436055,813.92242,126.96149,0.2419,0.2659
E3H5-4,8911,237,238,152,138,23.75645779,806.459378,126.41855,0.2441,0.2642
E3H6-1,8816,283,287,150,140,22.71117585,801.01219,126.20571,0.2616,0.2702
E3H6-2,8814,266,306,156,134,23.32370689,807.22896,123.89225,0.2399,0.2507
E3H6-3,8823,276,287,147,143,22.00249906,804.464956,125.14145,0.2574,0.2693
E3H6-4,8816,287,283,159,131,22.34960212,803.323542,125.28613,0.2481,0.2593
E3H7-1,8719,335,332,150,140,21.75697181,792.255927,123.45716,0.2452,0.254
E3H7-2,8713,362,311,138,152,21.35109434,784.585815,123.93291,0.2662,0.2745
E3H7-3,8723,340,323,131,159,21.68124544,790.602369,123.71614,0.2506,0.2619
E3H7-4,8723,318,345,151,139,21.56608184,784.972627,124.5695,0.2527,0.2551
E3H8-1,8627,399,360,138,152,21.08181855,781.520118,123.66699,0.2675,0.2758
E3H8-2,8623,376,387,149,141,20.44498925,773.991674,122.91131,0.2576,0.2616
E3H8-3,8627,377,382,145,145,20.21198505,773.714126,122.6621,0.2566,0.26
E3H8-4,8625,369,392,143,147,20.57311778,779.839902,124.13951,0.2726,0.2761
E3H9-1,8537,409,440,138,152,19.07999594,774.606508,121.19609,0.2489,0.2769
E3H9-2,8530,429,427,139,151,19.23397066,768.221145,120.69025,0.2625,0.2709
E3H9-3,8535,409,442,141,149,19.44479256,764.145807,121.8789,0.2575,0.2797
E3H9-4,8533,411,442,141,149,19.7577114,761.672923,120.93566,0.2436,0.258
E3H10-1,8453,460,473,141,149,18.88458779,757.784595,121.85445,0.2711,0.274
E3H10-2,8444,471,471,139,151,19.34967992,755.636696,120.83787,0.254,0.2679
E3H10-3,8449,454,483,136,154,19.20427513,761.65778,123.08038,0.266,0.2713
E3H10-4,8442,475,469,152,138,17.89629766,749.149886,120.64484,0.2549,0.259
E4H1-1,9193,48,48,188,199,26.76795761,849.634794,131.3827,0.2412,0.2478
E4H1-2,9193,48,48,204,183,26.93776063,848.720033,132.87634,0.2452,0.2543
E4H1-3,9193,43,53,188,199,25.76447521,847.569323,133.19456,0.2444,0.2506
E4H1-4,9193,58,38,185,202,25.62980472,844.373709,132.12353,0.2436,0.2489
E4H2-1,9097,104,88,185,202,24.68156675,835.912175,129.2163,0.2435,0.2463
E4H2-2,9097,99,93,188,199,25.03444936,833.209269,130.50141,0.2458,0.2488
E4H2-3,9097,94,98,201,186,25.27506044,836.693524,130.39701,0.2474,0.2521
E4H2-4,9099,96,94,166,221,23.87108215,833.229736,128.59107,0.2389,0.249
E4H3-1,9000,146,143,178,209,23.55192978,823.464086,127.68346,0.2493,0.2539
E4H3-2,9001,136,152,206,181,22.75372027,827.551197,129.827,0.2463,0.2578
E4H3-3,9003,151,135,201,186,24.03194157,822.178355,128.89249,0.2411,0.2538
E4H3-4,9001,141,147,218,169,23.05498948,826.554794,128.94184,0.2444,0.2532
E4H4-1,8908,172,209,196,191,22.08347397,817.702155,127.00028,0.2494,0.2543
E4H4-2,8905,187,197,193,194,22.23620677,815.031736,127.1453,0.2431,0.2515
E4H4-3,8903,190,196,183,204,22.52616205,808.794589,126.53785,0.2453,0.2517
E4H4-4,8904,195,190,210,177,22.31889471,817.542532,126.69102,0.2431,0.2605
E4H5-1,8809,238,242,198,189,20.61466899,805.299042,125.95762,0.2429,0.267
E4H5-2,8809,230,250,203,184,21.3142626,804.074621,126.06748,0.2458,0.2511
E4H5-3,8811,231,247,197,190,20.37452456,801.768355,125.38645,0.2424,0.2478
E4H5-4,8815,250,224,192,195,21.1035255,797.895239,125.88965,0.2409,0.2669
E4H6-1,8717,281,291,189,198,19.89569851,786.017926,124.11395,0.2581,0.2703
E4H6-2,8721,290,278,194,193,20.79347871,793.421166,124.79916,0.2455,0.2615
E4H6-3,8716,298,275,187,200,20.32179409,791.567831,123.31084,0.2416,0.2501
E4H6-4,8715,301,273,180,207,19.88920723,787.346203,122.12171,0.2415,0.2667
E4H7-1,8635,327,327,191,196,19.81891613,779.881841,122.68979,0.2516,0.2711
E4H7-2,8627,324,338,196,191,19.53524973,779.729184,124.35294,0.2714,0.2731
E4H7-3,8624,313,352,179,208,18.87559669,776.782507,122.89257,0.2638,0.2694
E4H7-4,8630,313,346,198,189,19.51290511,769.02314,123.04337,0.2507,0.2669
E4H8-1,8526,400,363,180,207,18.54225199,762.444134,122.04054,0.264,0.2909
E4H8-2,8529,389,371,197,190,18.32369237,771.407015,122.11237,0.2678,0.2791
E4H8-3,8530,390,369,180,207,18.22655514,761.903267,121.40312,0.2452,0.2659
E4H8-4,8524,385,380,201,186,19.00328836,769.741234,121.96069,0.2529,0.2724
E4H9-1,8438,439,412,190,197,16.90569611,749.998453,122.60236,0.273,0.2771
E4H9-2,8437,421,431,190,197,18.25974994,756.782053,121.10921,0.2583,0.2771
E4H9-3,8441,435,413,185,202,17.98511572,758.658889,119.59516,0.2472,0.2548
E4H9-4,8443,415,431,192,195,17.93105509,757.365515,121.54474,0.2558,0.2815
E4H10-1,8344,476,469,179,208,17.00407877,739.528619,121.11574,0.2854,0.2872
E4H10-2,8338,483,468,209,178,17.512378,743.999955,119.92638,0.2669,0.3024
E4H10-3,8338,448,503,201,186,17.61449773,748.988306,119.51361,0.2545,0.2701
E4H10-4,8352,484,453,193,194,17.31661765,737.053374,120.26431,0.2869,0.2916
E5H1-1,9097,52,44,247,236,23.31796675,836.440304,131.03968,0.2398,0.2506
E5H1-2,9097,37,59,236,247,23.20516002,836.107217,129.82905,0.2419,0.2602
E5H1-3,9097,48,48,242,241,23.40918977,834.775531,130.52618,0.2434,0.2536
E5H1-4,9098,50,45,250,233,22.94964366,836.211639,131.66937,0.2466,0.2516
E5H2-1,9001,97,95,245,238,22.33935374,822.943294,129.22217,0.2442,0.2524
E5H2-2,9001,92,100,232,251,22.19654172,823.365792,129.12944,0.2444,0.2514
E5H2-3,9002,98,93,252,231,21.07518631,817.475723,128.21851,0.2434,0.2551
E5H2-4,9002,103,88,239,244,21.18623991,824.916112,127.33167,0.2431,0.246
E5H3-1,8905,157,131,237,246,20.98466596,813.108569,126.87084,0.2423,0.246
E5H3-2,8903,146,144,260,223,20.89923474,812.643621,127.64912,0.2428,0.2509
E5H3-3,8907,135,151,256,227,19.86543828,813.416548,126.88443,0.25,0.2608
E5H3-4,8904,165,124,237,246,20.21564622,812.403291,126.94912,0.2414,0.2481
E5H4-1,8811,192,190,257,226,20.77120763,799.778726,126.54765,0.2514,0.2677
E5H4-2,8811,189,193,254,229,19.72751785,801.473782,125.13135,0.2459,0.2603
E5H4-3,8810,185,198,238,245,19.61311651,797.114933,126.05215,0.2443,0.2552
E5H4-4,8812,192,189,224,259,20.3167406,803.630522,126.09169,0.2489,0.2741
E5H5-1,8718,234,241,240,243,18.34251876,792.875513,124.53679,0.2587,0.271
E5H5-2,8716,236,241,239,244,19.52762435,791.993055,123.35823,0.246,0.2601
E5H5-3,8712,243,238,234,249,18.94749454,787.522737,123.28109,0.2416,0.2623
E5H5-4,8718,243,232,243,240,17.67700433,787.438801,123.63811,0.2411,0.244
E5H6-1,8618,270,305,228,255,18.18173365,781.138658,122.50903,0.2422,0.2759
E5H6-2,8625,294,274,238,245,17.97815019,781.066739,123.72347,0.2547,0.268
E5H6-3,8624,286,283,267,216,18.5374173,778.495443,123.11222,0.2512,0.2639
E5H6-4,8616,294,283,236,247,18.0406548,778.743376,123.55799,0.2487,0.2634
E5H7-1,8526,347,320,236,247,17.38619937,769.540076,121.93103,0.2552,0.2773
E5H7-2,8527,361,305,226,257,17.40437945,760.92697,123.688,0.2696,0.2711
E5H7-3,8527,349,317,231,252,17.14031317,766.897318,122.1536,0.2467,0.2611
E5H7-4,8531,365,297,232,251,17.12266052,766.59147,122.06449,0.2455,0.2532
E5H8-1,8436,364,393,238,245,17.05999499,753.525735,120.59585,0.2529,0.273
E5H8-2,8434,381,378,242,241,16.74404972,762.401028,122.0607,0.2581,0.2588
E5H8-3,8435,419,339,223,260,16.46074245,757.989115,120.71134,0.2646,0.2653
E5H8-4,8438,375,380,238,245,17.31425591,750.678309,119.83978,0.247,0.2705
E5H9-1,8337,413,443,244,239,16.26101673,742.699447,120.38728,0.2559,0.2808
E5H9-2,8341,422,430,236,247,16.59532543,744.373313,120.20889,0.2587,0.2722
E5H9-3,8342,414,437,255,228,16.65865447,745.353681,119.95714,0.2614,0.2759
E5H9-4,8344,418,431,251,232,16.22013277,748.292995,119.56186,0.244,0.2706
E5H10-1,8252,465,476,249,234,15.29602009,731.919681,120.73228,0.2879,0.29
E5H10-2,8263,466,464,251,232,15.55942904,738.144233,119.64436,0.249,0.2675
E5H10-3,8249,487,457,241,242,15.57276521,724.918324,118.30691,0.2559,0.2597
E5H10-4,8256,480,457,229,254,15.02115962,742.28988,119.79937,0.272,0.291
E6H1-1,9000,53,43,278,302,20.96802669,826.664768,128.25909,0.2378,0.2576
