Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M9H2-3,8613,88,105,431,439,17.86,791.206888,125.85055,0.2906,0.2914
M9H2-4,8615,94,97,428,442,18.61,791.640394,123.65887,0.2469,0.2692
M9H3-1,8518,147,141,415,455,16.65,782.285864,121.21567,0.2556,0.262
M9H3-2,8520,134,152,452,418,16.84,779.071201,120.93293,0.2434,0.2863
M9H3-3,8518,144,144,425,445,16.57,779.924364,121.29083,0.2417,0.2674
M9H3-4,8521,135,150,432,438,16.49,782.217752,121.69737,0.2449,0.2746
M9H4-1,8422,178,206,430,440,16.25,769.113267,120.50201,0.2514,0.2672
M9H4-2,8426,200,180,433,437,16.12,769.422244,119.92652,0.2566,0.2593
M9H4-3,8424,198,184,409,461,16.00,770.15624,121.52358,0.2575,0.2627
M9H4-4,8422,193,191,430,440,16.08,772.711551,120.78166,0.2517,0.2543
M9H5-1,8330,244,232,438,432,15.71,761.191546,118.49209,0.2496,0.2815
M9H5-2,8328,233,245,454,416,16.02,759.224424,120.67112,0.2632,0.268
M9H5-3,8329,228,249,433,437,16.60,763.075003,119.00731,0.2495,0.2624
M9H5-4,8330,244,232,447,423,15.98,754.289932,120.53501,0.2639,0.2803
M9H6-1,8231,281,294,453,417,15.62,747.531665,117.58438,0.2629,0.271
M9H6-2,8236,296,274,438,432,15.27,748.165619,117.65237,0.2462,0.2607
M9H6-3,8234,289,283,440,430,15.29,746.937733,119.59563,0.2877,0.2964
M9H6-4,8236,293,277,412,458,15.83,744.125879,118.45515,0.274,0.2785
M9H7-1,8140,315,351,463,407,15.65,735.970943,117.84326,0.2571,0.2817
M9H7-2,8142,355,309,424,446,14.96,731.281731,116.98433,0.2519,0.2568
M9H7-3,8145,326,335,446,424,15.13,738.75571,118.21353,0.2754,0.2782
M9H7-4,8145,331,330,430,440,14.77,740.898627,119.04588,0.2795,0.2877
M9H8-1,8049,370,387,419,451,14.47,724.621775,116.66482,0.2552,0.2712
M9H8-2,8054,376,376,439,431,14.89,736.048447,118.60733,0.2974,0.3037
M9H8-3,8048,384,374,429,441,14.38,726.83328,119.78534,0.3058,0.3141
M9H8-4,8046,368,392,428,442,14.22,729.545585,118.75628,0.2737,0.2752
M9H9-1,7950,428,428,433,437,13.50,718.930039,115.35129,0.2648,0.2768
M9H9-2,7958,432,416,428,442,14.09,718.48972,117.36416,0.2876,0.2892
M9H9-3,7952,419,435,424,446,14.41,713.837537,116.32687,0.2676,0.2702
M9H9-4,7963,427,416,430,440,14.03,707.14801,116.89303,0.2746,0.291
M9H10-1,7866,457,483,446,424,13.85,701.557776,119.15365,0.3314,0.336
M9H10-2,7860,461,485,429,441,13.95,705.777036,115.98785,0.2791,0.2805
M9H10-3,7862,466,478,432,438,13.62,703.177608,115.81463,0.2931,0.294
M9H10-4,7859,459,488,435,435,13.36,711.617577,117.97463,0.3058,0.3089
M10H1-1,8613,51,45,477,490,17.90,794.703283,123.02888,0.2458,0.2648
M10H1-2,8613,49,47,497,470,17.65,797.143688,123.15699,0.2448,0.2616
M10H1-3,8613,36,60,465,502,17.59,795.504114,122.32371,0.2342,0.2572
M10H1-4,8613,40,56,460,507,17.65,793.704377,122.18798,0.2437,0.2656
M10H2-1,8517,89,103,498,469,16.43,785.208522,122.50059,0.2684,0.2692
M10H2-2,8516,96,97,500,467,16.53,782.353565,122.51561,0.2533,0.2904
M10H2-3,8517,98,94,462,505,16.44,781.083205,121.42809,0.239,0.2629
M10H2-4,8517,76,116,484,483,16.86,783.080772,122.48791,0.2443,0.2571
M10H3-1,8419,154,136,478,489,16.31,772.452729,120.29447,0.2654,0.2808
M10H3-2,8421,131,157,482,485,16.07,776.415509,121.55354,0.2688,0.2717
M10H3-3,8419,140,150,493,474,16.42,770.593881,119.50666,0.2402,0.2702
M10H3-4,8420,133,156,460,507,16.50,770.739869,121.22879,0.2557,0.2756
M10H4-1,8322,188,199,484,483,15.94,760.494458,119.28007,0.2535,0.2738
M10H4-2,8327,185,197,482,485,15.94,759.176941,119.54613,0.2572,0.2648
M10H4-3,8325,198,186,484,483,14.85,761.524868,118.45481,0.2415,0.2595
M10H4-4,8328,197,184,471,496,15.83,766.316968,119.82317,0.2572,0.2779
M10H5-1,8234,237,238,488,479,15.16,755.760226,120.66721,0.2637,0.2653
M10H5-2,8233,242,234,487,480,15.53,756.815219,119.07035,0.2579,0.2805
M10H5-3,8232,240,237,478,489,14.94,754.877312,119.27831,0.2497,0.2772
M10H5-4,8234,229,246,464,503,15.27,747.878015,118.10464,0.2557,0.2591
M10H6-1,8136,284,289,478,489,14.51,739.608251,118.9424,0.2762,0.2889
M10H6-2,8141,281,287,482,485,14.90,732.289545,117.84034,0.2848,0.288
M10H6-3,8141,282,286,487,480,14.71,736.679241,116.98561,0.256,0.2675
M10H6-4,8141,262,306,506,461,15.14,745.608934,121.07953,0.2822,0.2855
M10H7-1,8043,322,344,484,483,14.42,729.992747,115.8428,0.2489,0.2608
M10H7-2,8042,342,325,490,477,14.71,724.387958,118.05876,0.2871,0.2984
M10H7-3,8051,320,338,451,516,13.81,733.575216,118.64943,0.2806,0.2898
M10H7-4,8046,342,321,488,479,14.30,733.726978,119.27231,0.2982,0.307
M10H8-1,7950,388,371,490,477,13.60,706.04958,117.49206,0.2791,0.2814
M10H8-2,7957,399,353,480,487,13.46,718.311682,116.41444,0.2687,0.2787
M10H8-3,7949,369,391,469,498,13.40,719.343768,114.81741,0.2471,0.2715
M10H8-4,7948,397,364,480,487,14.16,724.250058,122.80626,0.3009,0.3036
M10H9-1,7863,438,408,507,460,13.40,704.279666,117.12106,0.2934,0.2971
M10H9-2,7858,421,430,471,496,13.65,717.963822,114.29433,0.2554,0.2713
M10H9-3,7854,436,419,482,485,13.18,705.925217,117.17479,0.2835,0.2843
M10H9-4,7863,438,408,503,464,13.18,706.765488,117.14662,0.2951,0.3017
M10H10-1,7764,477,468,489,478,13.49,696.939107,118.69692,0.3091,0.3104
M10H10-2,7764,483,462,474,493,13.56,702.069049,117.47212,0.2786,0.2915
M10H10-3,7762,504,443,479,488,13.01,696.150489,119.24742,0.2978,0.3073
M10H10-4,7769,482,458,461,506,13.02,696.54201,115.88559,0.3054,0.3134
