Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
M2H9-3,8627,445,411,87,106,23.35,782.357792,122.93937,0.2577,0.2664
M2H9-4,8640,412,431,101,92,22.87,779.496564,123.59243,0.2632,0.2767
M2H10-1,8540,450,493,103,90,21.60,776.234078,122.29588,0.2655,0.2683
M2H10-2,8534,491,458,94,99,22.33,775.687426,121.78412,0.2516,0.2577
M2H10-3,8542,469,472,102,91,22.63,772.796639,121.46187,0.2514,0.2725
M2H10-4,8537,474,472,99,94,21.58,772.987952,121.08789,0.2454,0.255
M3H1-1,9292,48,46,137,153,33.84,861.502255,133.10615,0.2402,0.2461
M3H1-2,9290,43,53,149,141,32.83,860.305124,134.02978,0.2453,0.2488
M3H1-3,9290,55,41,149,141,32.78,860.134975,133.2381,0.2428,0.2471
M3H1-4,9290,40,56,144,146,32.33,861.59313,133.15025,0.2429,0.2519
M3H2-1,9195,99,92,140,150,29.79,850.98327,131.86052,0.2433,0.2498
M3H2-2,9196,87,103,141,149,29.44,846.632507,130.83803,0.2424,0.2476
M3H2-3,9194,104,88,142,148,30.74,851.456437,131.71663,0.2443,0.248
M3H2-4,9194,100,92,152,138,29.96,850.499084,131.9269,0.2433,0.2461
M3H3-1,9102,140,144,136,154,28.05,839.446227,128.25539,0.2417,0.2472
M3H3-2,9097,153,136,146,144,28.70,839.989425,129.02942,0.2496,0.2512
M3H3-3,9098,146,142,143,147,28.31,841.271824,129.5729,0.243,0.2525
M3H3-4,9101,132,153,146,144,28.19,839.379615,130.45226,0.2457,0.252
M3H4-1,9002,175,209,150,140,26.96,828.885899,127.32731,0.2443,0.2553
M3H4-2,9004,205,177,147,143,26.35,827.595785,127.29653,0.2399,0.2478
M3H4-3,9006,185,195,141,149,27.29,828.672008,127.70701,0.2437,0.2497
M3H4-4,9000,212,174,145,145,26.66,826.499959,127.39528,0.2496,0.2588
M3H5-1,8913,227,246,146,144,26.12,814.997931,127.07269,0.2469,0.2534
M3H5-2,8914,229,243,143,147,25.56,821.40575,126.76784,0.2438,0.263
M3H5-3,8911,246,229,133,157,24.91,818.004466,125.03079,0.2414,0.2423
M3H5-4,8907,243,236,161,129,24.97,823.518285,126.35795,0.2453,0.2556
M3H6-1,8815,288,283,131,159,24.33,801.996082,124.41158,0.2453,0.2545
M3H6-2,8814,291,281,150,140,23.90,809.85143,124.93423,0.2469,0.2633
M3H6-3,8814,278,294,135,155,23.96,803.438147,124.93629,0.2622,0.2671
M3H6-4,8817,283,286,145,145,24.53,805.237242,124.93685,0.2442,0.2523
M3H7-1,8717,334,335,151,139,22.45,797.110055,123.72391,0.2452,0.2564
M3H7-2,8725,323,338,154,136,22.68,795.922085,124.69723,0.2448,0.2511
M3H7-3,8726,313,347,151,139,23.08,790.723569,122.59553,0.2491,0.2563
M3H7-4,8718,325,343,145,145,22.48,793.29938,124.86666,0.2614,0.2625
M3H8-1,8631,357,398,133,157,21.33,785.230208,123.78313,0.2542,0.2658
M3H8-2,8623,380,383,140,150,21.53,782.250628,122.3551,0.2507,0.2751
M3H8-3,8623,365,398,156,134,22.24,785.365248,122.68509,0.2481,0.2515
M3H8-4,8628,370,388,150,140,21.77,782.124019,122.91007,0.2576,0.2692
M3H9-1,8535,430,421,141,149,20.61,771.918481,121.58117,0.2485,0.2585
M3H9-2,8543,422,421,140,150,20.31,780.070342,122.24481,0.2598,0.2636
M3H9-3,8547,417,422,141,149,20.51,778.201058,122.4412,0.2582,0.2849
M3H9-4,8539,390,457,147,143,20.03,775.079942,121.50782,0.2743,0.2926
M3H10-1,8442,477,467,148,142,20.70,763.326073,119.74474,0.2499,0.2802
M3H10-2,8446,475,465,150,140,19.47,764.281753,120.32984,0.2543,0.2627
M3H10-3,8440,469,477,159,131,20.71,750.918409,120.6257,0.2483,0.2779
M3H10-4,8437,490,459,146,144,19.81,765.055658,121.95793,0.2728,0.2749
M4H1-1,9193,50,46,191,196,29.88,850.736741,131.4333,0.2404,0.2474
M4H1-2,9193,55,41,188,199,27.24,852.327671,132.28561,0.2446,0.2507
