Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E1H7-1,8912,336,332,0,0,43,53,27.10733668,817.48904,126.58737,0.2467,0.2494
E1H7-2,8916,325,339,0,0,48,48,28.10187968,818.507486,126.70097,0.2468,0.2593
E1H7-3,8917,350,313,0,0,52,44,28.57441298,810.635888,125.88945,0.2435,0.2698
E1H7-4,8917,313,350,0,0,41,55,28.03675271,817.903466,126.8485,0.2455,0.2644
E1H8-1,8824,366,390,0,0,46,50,26.95784675,802.16994,124.12012,0.2479,0.2705
E1H8-2,8830,372,378,0,0,53,43,26.784252,807.448182,126.59239,0.2484,0.2613
E1H8-3,8817,390,373,0,0,54,42,26.71478835,801.554781,124.36266,0.2436,0.2537
E1H8-4,8820,381,379,0,0,48,48,26.69236281,804.005096,124.85935,0.2464,0.2613
E1H9-1,8732,419,429,0,0,43,53,24.76965961,790.383724,124.54371,0.2552,0.2671
E1H9-2,8728,443,409,0,0,44,52,24.35287834,792.833693,123.28148,0.2433,0.2609
E1H9-3,8723,423,434,0,0,32,64,25.52554656,786.109214,124.04984,0.2479,0.2608
E1H9-4,8735,444,401,0,0,43,53,24.80138731,790.085045,124.30344,0.2456,0.2565
E1H10-1,8642,456,482,0,0,47,49,24.76871789,781.427786,123.47563,0.2575,0.2591
E1H10-2,8635,462,483,0,0,47,49,23.26367729,784.457237,122.8959,0.2494,0.2892
E1H10-3,8633,490,457,0,0,51,45,23.9589865,782.868757,123.27464,0.2492,0.2671
E1H10-4,8630,469,481,0,0,49,47,22.57831006,782.380483,122.69879,0.2597,0.2617
E2H1-1,9388,46,49,0,0,99,94,36.57932387,873.501208,139.91537,0.2769,0.2803
E2H1-2,9387,57,39,0,0,89,104,35.65388473,870.955628,135.15209,0.2396,0.2461
