LAMMPS data file for ethylated 3% & hydrogenated 5% graphene

12182 atoms
3 atom types

0	251.3754 xlo xhi
0	100.8542008332821 ylo yhi
-10	10 zlo zhi

Masses

1    12.001
2    12.001
3    1.008

Atoms

167 1 147.701 1.230 0.000
168 1 149.121 1.230 0.000
169 1 149.831 0.000 0.000
170 1 151.251 0.000 0.000
171 1 151.961 1.230 0.000
172 3 151.961 1.230 -1.100
173 1 153.382 1.230 0.000
174 1 154.092 0.000 0.000
175 1 155.512 0.000 0.000
176 1 156.222 1.230 0.000
177 1 157.642 1.230 0.000
178 1 158.352 0.000 0.000
179 1 159.773 0.000 0.000
180 1 160.483 1.230 0.000
181 3 160.483 1.230 -1.100
182 1 161.903 1.230 0.000
183 3 161.903 1.230 1.100
184 1 162.613 0.000 0.000
185 1 164.033 0.000 0.000
186 1 164.743 1.230 0.000
187 1 166.163 1.230 0.000
188 1 166.874 0.000 0.000
189 1 168.294 0.000 0.000
190 1 169.004 1.230 0.000
191 1 170.424 1.230 0.000
192 1 171.134 0.000 0.000
193 3 171.134 0.000 -1.100
194 1 172.554 0.000 0.000
195 1 173.264 1.230 0.000
196 1 174.685 1.230 0.000
197 1 175.395 0.000 0.000
198 1 176.815 0.000 0.000
199 1 177.525 1.230 0.000
200 1 178.945 1.230 0.000
201 3 178.945 1.230 1.100
202 1 179.655 0.000 0.000
203 1 181.076 0.000 0.000
204 1 181.786 1.230 0.000
205 1 183.206 1.230 0.000
206 1 183.916 0.000 0.000
207 1 185.336 0.000 0.000
208 1 186.046 1.230 0.000
209 1 187.466 1.230 0.000
210 1 188.177 0.000 0.000
211 1 189.597 0.000 0.000
212 1 190.307 1.230 0.000
213 1 191.727 1.230 0.000
214 2 191.727 1.230 -1.500
215 3 192.827 1.230 -1.633
216 3 190.627 1.230 -1.633
217 2 191.727 1.230 -3.040
218 3 192.827 1.230 -3.173
219 3 191.177 2.183 -3.173
220 3 191.177 0.277 -3.173
221 1 192.437 0.000 0.000
222 1 193.857 0.000 0.000
223 3 193.857 0.000 -1.100
224 1 194.567 1.230 0.000
225 1 195.988 1.230 0.000
226 1 196.698 0.000 0.000
227 1 198.118 0.000 0.000
228 1 198.828 1.230 0.000
229 1 200.248 1.230 0.000
230 1 200.958 0.000 0.000
231 1 202.379 0.000 0.000
232 1 203.089 1.230 0.000
233 3 203.089 1.230 1.100
234 1 204.509 1.230 0.000
