Folder,frac_C,frac_H+,frac_H-,frac_C2H5+,frac_C2H5-,C_mean_r,C_mean_c,C_std_r,C_std_c,C_corr_rc,H+_mean_r,H+_mean_c,H+_std_r,H+_std_c,H+_corr_rc,H-_mean_r,H-_mean_c,H-_std_r,H-_std_c,H-_corr_rc,C2H5+_mean_r,C2H5+_mean_c,C2H5+_std_r,C2H5+_std_c,C2H5+_corr_rc,C2H5-_mean_r,C2H5-_mean_c,C2H5-_std_r,C2H5-_std_c,C2H5-_corr_rc,H+_nn_mean,H+_nn_std,H-_nn_mean,H-_nn_std,C2H5+_nn_mean,C2H5+_nn_std,C2H5-_nn_mean,C2H5-_nn_std,dist_H+-H-_mean,dist_H+-H-_std,dist_H+-C2H5+_mean,dist_H+-C2H5+_std,dist_H+-C2H5-_mean,dist_H+-C2H5-_std,dist_H--C2H5+_mean,dist_H--C2H5+_std,dist_H--C2H5-_mean,dist_H--C2H5-_std,dist_C2H5+-C2H5-_mean,dist_C2H5+-C2H5-_std,rdf_nc_bin0,rdf_nc_bin1,rdf_nc_bin2,rdf_nc_bin3,rdf_nc_bin4,rdf_nc_bin5,rdf_nc_bin6,rdf_nc_bin7,rdf_nc_bin8,rdf_nc_bin9,fft_top0,fft_top1,fft_top2,fft_top3,fft_top4,fft_top5,fft_top6,fft_top7,fft_top8,fft_top9,fft_top10,fft_top11,fft_top12,fft_top13,fft_top14,fft_top15,fft_top16,fft_top17,fft_top18,fft_top19,row_marginal_0,row_marginal_1,row_marginal_2,row_marginal_3,row_marginal_4,row_marginal_5,row_marginal_6,row_marginal_7,row_marginal_8,row_marginal_9,col_marginal_0,col_marginal_1,col_marginal_2,col_marginal_3,col_marginal_4,col_marginal_5,col_marginal_6,col_marginal_7,col_marginal_8,col_marginal_9,Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E1H1-1,0.9801570897064903,0.0047540305911533695,0.005167424555601488,0.005064076064489459,0.004857379082265399,0.4932582,0.4955715,0.28876045,0.28847376,0.0022457838725215822,0.50344646,0.51768607,0.30845895,0.31591475,-0.2495813845040783,0.49512193,0.5255932,0.2510063,0.2883523,0.14591366816145257,0.5350921,0.500173,0.28486994,0.2816715,-0.06184689346711648,0.57031655,0.4765597,0.27459013,0.30329248,-0.2281101581765697,7.852536183731896,4.233749166509568,7.2519884576421125,3.801139751472651,7.703881553357232,2.941123766835074,9.102586404669351,3.969879346041195,8.093180953518644,4.170338883283843,7.874978459588224,4.324593109804586,6.668521585496608,4.7260097005669355,7.352540796822556,3.942098911881837,7.524716334395175,4.397572522072425,7.325011579013032,4.384262353889553,0.003319713993871297,0.011916922029281579,0.019152196118488254,0.02553626149131767,0.033026898195437526,0.040602655771195095,0.04477357848144365,0.04690160027238679,0.05405175348995574,0.05405175348995574,0.21927236020565033,0.04692107066512108,0.045400213450193405,0.044029247015714645,0.042337566614151,0.04196006432175636,0.0418359637260437,0.04164772853255272,0.04141782224178314,0.04112866893410683,0.040697429329156876,0.0404631681740284,0.04000360518693924,0.039947256445884705,0.039910316467285156,0.0397728867828846,0.038924574851989746,0.0383140929043293,0.038068659603595734,0.03794729709625244,0.009837962962911723,0.009837962962911723,0.010416666666612414,0.013020833333265517,0.011718749999938965,0.016276041666581895,0.011718749999938965,0.009765624999949138,0.016276041666581895,0.013671874999928793,0.010416666666612414,0.005642361111081724,0.008246527777734828,0.009548611111061379,0.006510416666632758,0.00781249999995931,0.009982638888836897,0.006944444444408275,0.009943181818130031,0.009943181818130031,45.59134853,880.351372,137.97801,0.2405,0.2583
E1H1-2,0.9801570897064903,0.005994212484497726,0.003927242662257131,0.0044439851178172795,0.005477470028937578,0.49349484,0.49532396,0.28872123,0.28876472,-0.0004079817749876076,0.47161478,0.5314144,0.272958,0.30236962,0.03956123088609948,0.51540434,0.53367525,0.28642055,0.286085,-0.1107498767079487,0.55558705,0.51793456,0.28110126,0.26635936,0.012975117533685906,0.52577084,0.49008635,0.2922191,0.2689876,0.09613050126906855,6.995241609660451,3.2079171986679373,8.659263823798858,4.578702703921822,8.138541070909156,3.681690768049844,7.613864421057677,3.70756654826687,7.374482375128622,4.122659341219561,7.090534007807996,3.9348377569822945,6.258045975957416,3.1170773021583513,7.815834485547393,4.360962560309693,5.362506379134438,2.6864864682832055,6.791602243890768,3.2263017034536823,0.00398665690342527,0.013993979334472379,0.017817915547961923,0.02790659832397689,0.03579855178585957,0.04238873972825644,0.03954112765438125,0.04499227076722805,0.05223334146936783,0.05467415181840371,0.22383753955364227,0.05363747850060463,0.046286966651678085,0.04580044373869896,0.04503360018134117,0.041705090552568436,0.04090678319334984,0.04010749235749245,0.03949752449989319,0.039461880922317505,0.039428744465112686,0.039134539663791656,0.03913290426135063,0.03883601725101471,0.038692351430654526,0.03866800293326378,0.03805356100201607,0.03756355866789818,0.03723937273025513,0.03697613626718521,0.009837962962911723,0.012152777777714483,0.011067708333275689,0.01432291666659207,0.011718749999938965,0.013671874999928793,0.00781249999995931,0.014973958333255344,0.013671874999928793,0.013020833333265517,0.006510416666632758,0.006510416666632758,0.009982638888836897,0.008680555555510346,0.0060763888888572416,0.010850694444387932,0.00781249999995931,0.009114583333285861,0.011837121212059562,0.00757575757571812,41.96489774,883.097599,136.98315,0.2394,0.2449
E1H1-3,0.9801570897064903,0.0047540305911533695,0.005167424555601488,0.0046506821000413395,0.005270773046713518,0.4937803,0.49593964,0.28856388,0.28840965,0.003021554525356684,0.4392895,0.49170965,0.23210448,0.30893686,-0.15506449702016523,0.54487807,0.47762713,0.30905855,0.29805827,-0.14933304700365616,0.5067751,0.4691149,0.32099468,0.2907171,-0.1343960616549202,0.50454324,0.50780994,0.2909738,0.30365905,-0.12784994306560526,7.191182137801957,3.3595981100360883,7.235591183785306,3.8892441709319745,8.590212645667306,4.303412345259126,7.9689479417659665,4.107117933664897,6.236571619848024,3.335702858610308,9.737074503035515,4.231639330883894,7.59067872807528,3.8913321642289604,7.904229361759855,4.3061767493559095,7.550144246521581,4.122538278381059,7.257856291317891,3.0534442936751462,0.003241349102058695,0.012264564169951817,0.01830924222514236,0.025580376697328076,0.0360928602715725,0.03793254489706527,0.04572930354796321,0.04643013578624616,0.05466491458607096,0.053088042049934295,0.22561174631118774,0.04517411068081856,0.0442533977329731,0.043933797627687454,0.04229969158768654,0.04128749668598175,0.0411873497068882,0.040987029671669006,0.04095180705189705,0.040594976395368576,0.04048285633325577,0.04047222062945366,0.039823804050683975,0.03972141444683075,0.03964589908719063,0.03957796096801758,0.03923004865646362,0.038458190858364105,0.03819059580564499,0.038115523755550385,0.010995370370313104,0.015046296296217931,0.006510416666632758,0.016276041666581895,0.012369791666602242,0.009765624999949138,0.011067708333275689,0.011067708333275689,0.017578124999908448,0.011067708333275689,0.010850694444387932,0.008246527777734828,0.008680555555510346,0.008680555555510346,0.007378472222183794,0.0060763888888572416,0.009114583333285861,0.006510416666632758,0.010890151515094796,0.008522727272682884,45.57843467,883.340872,139.21892,0.2763,0.2822
E1H1-4,0.9801570897064903,0.005270773046713518,0.0046506821000413395,0.005580818520049607,0.00434063662670525,0.49484238,0.49527213,0.28827286,0.2888074,-0.0005295323823874344,0.45528454,0.613659,0.30980402,0.27992615,-0.07954137039231711,0.44092143,0.43822977,0.30908164,0.24145271,0.21148076806404642,0.46883467,0.48367858,0.28904378,0.28969082,-0.008451869105258336,0.41753775,0.5405569,0.3041898,0.27228475,0.09331996326359071,6.821872107007101,4.778557311076885,6.902921923757343,4.436552969124066,7.033070468436146,3.220132469223078,7.29544715399593,4.5633397715786765,12.638820297603857,9.082704200981325,7.226009428745779,3.3314431146086205,8.745952564942636,5.374091807122499,7.515532109525379,4.556448348784112,7.831554945798173,4.449728133749019,9.435005570337266,4.826539619905712,0.003902604564350556,0.011622974463391871,0.019597862051412573,0.02630016119453635,0.033596334945278694,0.036565707983371505,0.04674641554254687,0.04598286247560872,0.05378807160430984,0.05523033850852634,0.228299081325531,0.05054037272930145,0.04441877827048302,0.04424165561795235,0.04072805121541023,0.04057684540748596,0.040446937084198,0.04019984230399132,0.039928145706653595,0.03969015181064606,0.03964297100901604,0.03952499106526375,0.03946026414632797,0.03912438824772835,0.03912018984556198,0.03911410644650459,0.03889681026339531,0.038843926042318344,0.038630858063697815,0.03857165575027466,0.01562499999991862,0.015046296296217931,0.016927083333245174,0.012369791666602242,0.011718749999938965,0.010416666666612414,0.006510416666632758,0.010416666666612414,0.00781249999995931,0.01432291666659207,0.006944444444408275,0.005208333333306207,0.011718749999938965,0.008680555555510346,0.005642361111081724,0.00781249999995931,0.011284722222163448,0.009548611111061379,0.009469696969647648,0.008522727272682884,42.9035541,883.268681,137.1136,0.2383,0.244
E1H2-1,0.9701322860686235,0.010438197602315007,0.009508061182306739,0.0047540305911533695,0.005167424555601488,0.49409536,0.4953849,0.2888696,0.28861797,0.0021127176110155178,0.47573048,0.52726966,0.29518515,0.2920127,-0.016158987829920722,0.50119305,0.50138175,0.2774576,0.2928845,-0.13229898414839522,0.4766702,0.5140014,0.28137192,0.2699702,-0.07833709763722946,0.4968293,0.4759322,0.2581314,0.29458076,-0.046778854774448216,5.049869622096287,2.7147935333174003,5.809235235820205,3.1351033366424628,8.26158034580972,3.924087677763334,8.073584318709491,3.5773224971601563,5.24575701783345,2.571137137754079,7.590740415110271,4.303402585373309,6.554015753470342,3.3174197115931134,7.405563503940458,3.9086051740354146,6.486798857670594,3.34886829257184,6.686675844674025,3.477457975927224,0.003362985463224127,0.012222463296448978,0.020105590511318435,0.025059665871121718,0.03362985463224127,0.038909380198163014,0.0417299486511897,0.047913502567440515,0.05413321761770449,0.05626672452448108,0.25403445959091187,0.054171591997146606,0.04251234978437424,0.04214388132095337,0.04050491377711296,0.04025823622941971,0.04002277925610542,0.039766620844602585,0.038632869720458984,0.03806548938155174,0.03806548938155174,0.03755432739853859,0.03717409819364548,0.03708001598715782,0.03705732151865959,0.03686834126710892,0.03662268444895744,0.03661274537444115,0.036539845168590546,0.036311905831098557,0.012687427912297506,0.011918492887309779,0.010380622837334324,0.011678200692001114,0.017301038062223873,0.009948096885778726,0.012543252595112308,0.014705882352890292,0.010380622837334324,0.010380622837334324,0.00807381776237114,0.006632064590519151,0.009803921568593528,0.007785467128000743,0.010092272202963925,0.006632064590519151,0.007208765859259948,0.010957324106075118,0.009436929852122111,0.008178672538505832,38.63721981,869.960936,135.11262,0.2407,0.2473
E1H2-2,0.9701322860686235,0.009301364200082679,0.010644894584539065,0.0047540305911533695,0.005167424555601488,0.4935744,0.49577582,0.28856105,0.28900963,-0.0007295691513442325,0.5134146,0.45800376,0.30512753,0.28450945,-0.008193222096727766,0.5185887,0.5214744,0.2813685,0.27582076,0.030010315876812455,0.47295862,0.47310245,0.25491968,0.28282693,-0.014450932805987832,0.4887805,0.5291525,0.31430158,0.25040135,0.10949840882580647,5.8696298749227305,2.8524259885759453,5.345374011361688,2.685774459192237,7.112826387023675,2.951617965480407,7.239036459674992,4.105648686321828,4.857769743472652,2.7389912594606156,8.29146151721573,4.455520834709522,7.748856621045104,3.8743743523362597,7.564516005833285,4.715337557068813,7.1881042308238685,4.00861842091286,7.301578882115479,4.153572344325984,0.003659022570010506,0.011592942796072892,0.01974423069956164,0.026156577183639458,0.03434409303336594,0.03883635836684418,0.04401695467883926,0.04742238162518567,0.05390718400173894,0.05365358837807485,0.2688411474227905,0.05031903088092804,0.041062064468860626,0.04038921371102333,0.039344437420368195,0.03906162828207016,0.038586679846048355,0.03814208507537842,0.03779051825404167,0.0376153439283371,0.037538081407547,0.03737983852624893,0.03729189932346344,0.0371573269367218,0.03700090944766998,0.03687317296862602,0.03684486448764801,0.03627980872988701,0.03627236932516098,0.0362095832824707,0.01307189542479137,0.00999615532484046,0.01081314878888992,0.01211072664355671,0.014273356401334696,0.01081314878888992,0.012975778546667904,0.012543252595112308,0.01211072664355671,0.013408304498223502,0.006920415224889549,0.010092272202963925,0.007497116493630344,0.00807381776237114,0.007497116493630344,0.011534025374815916,0.010668973471704722,0.006343713956148753,0.009122365523718041,0.006920415224889549,38.43359229,873.385175,134.54078,0.2397,0.2475
E1H2-3,0.9703389830508474,0.009611409673418768,0.010128152128978917,0.00423728813559322,0.005684167011161637,0.4940005,0.4958101,0.28870255,0.2888039,-0.0010060612427960196,0.47220033,0.4396756,0.27732205,0.26903605,0.12116574049813907,0.51381284,0.5049291,0.29486102,0.29659268,0.08237822960508173,0.50089234,0.59136003,0.28144175,0.27675855,0.08315840489615116,0.47317073,0.49491528,0.2898085,0.2694261,-0.2757542509822987,5.489560742040522,2.9809777315155497,5.624761901679343,2.582281161763018,7.261857976517567,4.921040361659647,7.031372151353084,3.815731341325842,5.051616657050511,2.653358048804582,9.018095560069286,5.684044429067138,7.001739589686187,4.113621187878258,8.680220318157291,5.189343449062798,6.760570181922794,3.7835299626885113,7.542410226881706,4.0981672487465115,0.003648424543946932,0.01238253178551686,0.021337755666113876,0.02601805785885388,0.03442049014188318,0.03829003132485719,0.044739266629813895,0.0494195688225539,0.05266261286161784,0.05041459369817579,0.25625544786453247,0.04530689865350723,0.04496689885854721,0.043483830988407135,0.041613899171352386,0.041173581033945084,0.03942245990037918,0.03851567581295967,0.03830740973353386,0.038267601281404495,0.03817709907889366,0.03795861452817917,0.037697263062000275,0.037541523575782776,0.037501558661460876,0.037027422338724136,0.03689643368124962,0.036719851195812225,0.036719851195812225,0.036446746438741684,0.012001548586872624,0.011227255129655035,0.015243902438971276,0.011324041811807234,0.010452961672437446,0.015243902438971276,0.013066202090546809,0.0069686411149582975,0.013501742160231702,0.013066202090546809,0.008130081300784681,0.008420441347241276,0.008130081300784681,0.009872241579524255,0.009291521486611063,0.008420441347241276,0.007549361207871488,0.007259001161414894,0.010452961672437446,0.007285397529274583,39.03496571,871.248715,135.89515,0.2427,0.2485
E1H2-4,0.9701322860686235,0.010231500620090947,0.009714758164530797,0.004857379082265399,0.005064076064489459,0.49445003,0.49593017,0.28885856,0.28885806,0.0025454922960699068,0.45257452,0.52028763,0.297478,0.30122924,-0.09685997106611692,0.46795538,0.4454562,0.26884633,0.26806533,-0.04667831518928387,0.5360664,0.5369636,0.25548467,0.27758756,0.0070607214301763995,0.48183176,0.47111726,0.28643703,0.25821242,-0.26522952610877093,5.13746784652167,2.29632114318156,5.039567378942415,3.2854603931262982,7.913120574562362,4.148772108284618,7.65654191694931,4.468691375413171,5.439946652311957,3.1659346228501866,8.290144938641575,4.061492228053342,8.730310737409294,4.5387064507916595,6.594022945764902,3.138255665934263,6.846483237463106,3.133234214168935,7.513673000422929,5.20147636162925,0.0029699510831586303,0.012368972746331237,0.01904262753319357,0.02620545073375262,0.033298392732355,0.03857442348008386,0.0429769392033543,0.04730957372466806,0.05419287211740042,0.05639412997903564,0.2645180821418762,0.04435206204652786,0.04170617088675499,0.04162108525633812,0.04052339121699333,0.03952007740736008,0.0388074666261673,0.038379520177841187,0.03836053982377052,0.038261402398347855,0.038132332265377045,0.03777240589261055,0.03770622983574867,0.0375579409301281,0.03736595809459686,0.03733501210808754,0.03733264282345772,0.03715439885854721,0.03694412484765053,0.03664900362491608,0.01422529796227296,0.010380622837334324,0.012975778546667904,0.010380622837334324,0.018598615916890663,0.01211072664355671,0.011678200692001114,0.01211072664355671,0.007352941176445146,0.01211072664355671,0.007208765859259948,0.008938869665482334,0.010957324106075118,0.006632064590519151,0.010092272202963925,0.007497116493630344,0.00922722029985273,0.008650519031111937,0.008807801195313972,0.006605850896485479,38.79837058,872.128182,134.44271,0.2438,0.2479
E1H3-1,0.9603141794129806,0.013745349317899959,0.016019016122364612,0.005684167011161637,0.00423728813559322,0.493157,0.49535596,0.28825438,0.28877348,-0.0018805608217444519,0.46882448,0.50669044,0.28439113,0.29029033,0.10240229545416474,0.5317073,0.52657187,0.31143877,0.28070712,-0.02910108458217233,0.5390244,0.49738058,0.29799682,0.28091595,0.0020516325289154035,0.54074955,0.43385696,0.2681657,0.28503805,0.21795537730443687,4.134505529957043,2.1494533577261787,4.299310374595033,2.236023539822748,7.160675732769977,3.7558675738020053,9.207485698771869,4.614691521501605,3.948787122122592,2.150610466109737,6.841388295668681,3.3245374182027856,7.812991958398733,4.132488041105073,6.712319548063988,3.7840401468622336,8.420741907687153,4.482310311002721,7.747591482311256,4.511833818419765,0.003756109012527477,0.014277482553300467,0.019954329129052224,0.02548178500544209,0.03491474059372132,0.03894828947649231,0.044091597840237313,0.047314168640758054,0.05143308363745012,0.05316174744435197,0.29247671365737915,0.04811929911375046,0.04643382132053375,0.042053256183862686,0.04031713306903839,0.03673628345131874,0.036542437970638275,0.03644629940390587,0.036268558353185654,0.03623439744114876,0.03609146550297737,0.035905349999666214,0.03538934141397476,0.034775473177433014,0.03469549119472504,0.03467192128300667,0.03447116166353226,0.03444582223892212,0.03405197709798813,0.03387390449643135,0.010995370370341737,0.013310185185150522,0.013997395833296882,0.009765624999974569,0.010742187499972026,0.008789062499977112,0.01269531249996694,0.012044270833301968,0.013346354166631911,0.01627604166662428,0.009331597222197922,0.005642361111096417,0.00868055555553295,0.007378472222203008,0.008246527777756302,0.009982638888862893,0.010850694444416189,0.007595486111091331,0.008759469696946886,0.00828598484846327,38.2183796,862.470603,133.18693,0.2415,0.2479
E1H3-2,0.9603141794129806,0.016019016122364612,0.013745349317899959,0.0044439851178172795,0.005477470028937578,0.49417412,0.49444664,0.28877306,0.28889295,-0.0029542594654667002,0.4815893,0.54587203,0.2781998,0.28995308,0.12521633751604358,0.47194207,0.49891677,0.28417704,0.27096614,0.09753158212878658,0.4619966,0.54710287,0.28757128,0.277676,0.058144939152653806,0.5632766,0.53038055,0.29698533,0.2773789,-0.09681153926516747,4.250829292229799,2.702710468531211,4.622743686438799,2.383877595103741,8.92820983068073,4.207811054515015,7.503496791298469,3.5287749834901163,4.797296039075867,2.6406528525462294,7.194117063515404,3.3504215910429567,6.641303570491633,3.5735845085031634,7.740936138321621,3.9368718970783476,7.578767005194072,3.410272694948898,6.775891741080641,3.6464494290661094,0.0034617397254759893,0.011250654107796966,0.020005635390250773,0.025157992190959225,0.03234311476069718,0.03793825222396651,0.043573642474741374,0.04868574648794429,0.055186571670088155,0.05572998430141287,0.28728482127189636,0.04034055024385452,0.040298741310834885,0.03956674411892891,0.039480239152908325,0.038925983011722565,0.038925983011722565,0.03872556611895561,0.03829973191022873,0.03826098144054413,0.03817756101489067,0.03796405717730522,0.03692728653550148,0.036341652274131775,0.03598221018910408,0.035748906433582306,0.03490401804447174,0.03482768312096596,0.03476627171039581,0.03425103425979614,0.013310185185150522,0.010995370370341737,0.012044270833301968,0.013671874999964397,0.011067708333304511,0.014648437499961853,0.012369791666634454,0.010742187499972026,0.013671874999964397,0.009440104166642083,0.00694444444442636,0.007812499999979655,0.006293402777761388,0.007812499999979655,0.00868055555553295,0.008246527777756302,0.010633680555527863,0.011935763888857805,0.0073390151514960405,0.008996212121188694,36.55282945,858.627541,131.19401,0.2417,0.2478
